DayOfWeek,Period,NbrAppliances,Hour,KWH-6,KWH-5,KWH-4,KWH-3,KWH-2,KWH-1,KWH
1,3,3,1,0.091,0.137,0.1,0.108,0.13,0.12,0.146
1,3,3,2,0.137,0.1,0.108,0.13,0.12,0.146,0.152
1,3,3,3,0.1,0.108,0.13,0.12,0.146,0.152,0.163
1,3,4,4,0.108,0.13,0.12,0.146,0.152,0.163,0.143
1,3,3,5,0.13,0.12,0.146,0.152,0.163,0.143,0.154
1,3,4,6,0.12,0.146,0.152,0.163,0.143,0.154,0.132
1,4,3,1,0.146,0.152,0.163,0.143,0.154,0.132,0.082
1,4,3,2,0.152,0.163,0.143,0.154,0.132,0.082,0.134
1,4,4,3,0.163,0.143,0.154,0.132,0.082,0.134,0.116
1,4,3,4,0.143,0.154,0.132,0.082,0.134,0.116,0.091
1,4,4,5,0.154,0.132,0.082,0.134,0.116,0.091,0.136
1,4,4,6,0.132,0.082,0.134,0.116,0.091,0.136,0.103
2,1,3,1,0.082,0.134,0.116,0.091,0.136,0.103,0.108
2,1,4,2,0.134,0.116,0.091,0.136,0.103,0.108,0.131
2,1,3,3,0.116,0.091,0.136,0.103,0.108,0.131,0.108
2,1,3,4,0.091,0.136,0.103,0.108,0.131,0.108,0.112
2,1,4,5,0.136,0.103,0.108,0.131,0.108,0.112,0.122
2,1,3,6,0.103,0.108,0.131,0.108,0.112,0.122,0.123
2,2,3,1,0.108,0.131,0.108,0.112,0.122,0.123,0.104
2,2,4,2,0.131,0.108,0.112,0.122,0.123,0.104,0.12
2,2,3,3,0.108,0.112,0.122,0.123,0.104,0.12,0.123
2,2,3,4,0.112,0.122,0.123,0.104,0.12,0.123,0.088
2,2,3,5,0.122,0.123,0.104,0.12,0.123,0.088,0.134
2,2,4,6,0.123,0.104,0.12,0.123,0.088,0.134,0.138
2,3,3,1,0.104,0.12,0.123,0.088,0.134,0.138,0.13
2,3,4,2,0.12,0.123,0.088,0.134,0.138,0.13,0.176
2,3,3,3,0.123,0.088,0.134,0.138,0.13,0.176,0.141
2,3,3,4,0.088,0.134,0.138,0.13,0.176,0.141,0.144
2,3,4,5,0.134,0.138,0.13,0.176,0.141,0.144,0.164
2,3,3,6,0.138,0.13,0.176,0.141,0.144,0.164,0.117
2,4,4,1,0.13,0.176,0.141,0.144,0.164,0.117,0.103
2,4,3,2,0.176,0.141,0.144,0.164,0.117,0.103,0.118
2,4,4,3,0.141,0.144,0.164,0.117,0.103,0.118,0.119
2,4,4,4,0.144,0.164,0.117,0.103,0.118,0.119,0.105
2,4,2,5,0.164,0.117,0.103,0.118,0.119,0.105,0.112
2,4,3,6,0.117,0.103,0.118,0.119,0.105,0.112,0.13
3,1,4,1,0.103,0.118,0.119,0.105,0.112,0.13,0.092
3,1,3,2,0.118,0.119,0.105,0.112,0.13,0.092,0.127
3,1,4,3,0.119,0.105,0.112,0.13,0.092,0.127,0.138
3,1,3,4,0.105,0.112,0.13,0.092,0.127,0.138,0.081
3,1,3,5,0.112,0.13,0.092,0.127,0.138,0.081,0.143
3,1,4,6,0.13,0.092,0.127,0.138,0.081,0.143,0.119
3,2,3,1,0.092,0.127,0.138,0.081,0.143,0.119,0.092
3,2,3,2,0.127,0.138,0.081,0.143,0.119,0.092,0.137
3,2,2,3,0.138,0.081,0.143,0.119,0.092,0.137,0.108
3,2,4,4,0.081,0.143,0.119,0.092,0.137,0.108,0.102
3,2,4,5,0.143,0.119,0.092,0.137,0.108,0.102,0.117
3,2,3,6,0.119,0.092,0.137,0.108,0.102,0.117,0.131
3,3,4,1,0.092,0.137,0.108,0.102,0.117,0.131,0.094
3,3,3,2,0.137,0.108,0.102,0.117,0.131,0.094,0.117
3,3,4,3,0.108,0.102,0.117,0.131,0.094,0.117,0.136
3,3,3,4,0.102,0.117,0.131,0.094,0.117,0.136,0.101
3,3,3,5,0.117,0.131,0.094,0.117,0.136,0.101,0.139
3,3,4,6,0.131,0.094,0.117,0.136,0.101,0.139,0.138
3,4,2,1,0.094,0.117,0.136,0.101,0.139,0.138,0.075
3,4,3,2,0.117,0.136,0.101,0.139,0.138,0.075,0.137
3,4,4,3,0.136,0.101,0.139,0.138,0.075,0.137,0.116
3,4,2,4,0.101,0.139,0.138,0.075,0.137,0.116,0.091
3,4,4,5,0.139,0.138,0.075,0.137,0.116,0.091,0.132
3,4,4,6,0.138,0.075,0.137,0.116,0.091,0.132,0.119
4,1,2,1,0.075,0.137,0.116,0.091,0.132,0.119,0.096
4,1,3,2,0.137,0.116,0.091,0.132,0.119,0.096,0.113
4,1,3,3,0.116,0.091,0.132,0.119,0.096,0.113,0.14
